Class Name, Weighted Method Count
org/assertj/core/error/future/ShouldBeDone,2
org/assertj/core/error/future/ShouldBeCancelled,2
org/assertj/core/util/ArrayWrapperList,9
org/assertj/core/api/WithAssertions,161
org/assertj/core/util/IterableUtil,20
org/assertj/core/error/ShouldNotContainValue,2
org/assertj/core/error/ShouldBeEqualIgnoringSeconds,6
org/assertj/core/api/AbstractByteAssert,43
org/assertj/core/presentation/UnicodeRepresentation,11
org/assertj/core/error/ShouldBeInterface,4
org/assertj/core/api/Assertions,162
org/assertj/core/api/WithAssumptions,78
org/assertj/core/error/ShouldBeGreaterOrEqual,3
org/assertj/core/api/FutureAssert,1
org/assertj/core/api/ComparatorFactory$1,6
org/assertj/core/internal/Strings,148
org/assertj/core/api/ComparatorFactory$2,6
org/assertj/core/api/ObjectAssert,3
org/assertj/core/api/Java6BDDSoftAssertions,3
org/assertj/core/api/AbstractDoubleArrayAssert,44
org/assertj/core/util/BigDecimalComparator,3
org/assertj/core/error/future/ShouldNotHaveFailed,2
org/assertj/core/error/ShouldContainOnly,7
org/assertj/core/error/ShouldNotBeEqualWithinOffset,2
org/assertj/core/error/ShouldBeRelativePath,4
org/assertj/core/api/UriAssert,1
org/assertj/core/api/CharSequenceAssert,1
org/assertj/core/api/ThrowableAssert,6
org/assertj/core/api/AbstractPredicateLikeAssert,7
org/assertj/core/error/uri/ShouldHaveProtocol,2
org/assertj/core/error/ShouldStartWith,3
org/assertj/core/error/ShouldHaveSameContent,6
org/assertj/core/data/TemporalOffset,2
org/assertj/core/error/uri/ShouldHaveScheme,2
org/assertj/core/internal/Maps,105
org/assertj/core/api/InputStreamAssert,1
org/assertj/core/internal/Conditions,13
org/assertj/core/error/NoElementsShouldMatch,2
org/assertj/core/error/ShouldBeOfClassIn,2
org/assertj/core/api/JUnitBDDSoftAssertions$1,2
org/assertj/core/api/iterable/ThrowingExtractor,3
org/assertj/core/error/ShouldBeWritable,4
org/assertj/core/api/AbstractDateAssert,102
org/assertj/core/internal/Difference,5
org/assertj/core/api/AbstractEnumerableAssert,7
org/assertj/core/util/Throwables,17
org/assertj/core/util/diff/DiffAlgorithm,1
org/assertj/core/api/ComparableAssert,8
org/assertj/core/api/CharacterAssert,1
org/assertj/core/api/CharArrayAssert,1
org/assertj/core/api/AbstractOptionalAssert,27
org/assertj/core/api/IterableAssert$LazyIterable,6
org/assertj/core/api/Java6JUnitSoftAssertions$1,2
org/assertj/core/internal/DoubleArrays,28
org/assertj/core/api/ObjectAssertFactory,3
org/assertj/core/error/ShouldBeBefore,3
org/assertj/core/api/OffsetDateTimeAssert,1
org/assertj/core/error/ShouldContainKey,2
org/assertj/core/api/Java6AbstractBDDSoftAssertions,58
org/assertj/core/internal/ComparisonStrategy,14
org/assertj/core/error/ShouldBeEqualIgnoringMinutes,6
org/assertj/core/api/Java6Assertions,127
org/assertj/core/api/SoftAssertionError,6
org/assertj/core/error/ShouldContainExactlyInAnyOrder$ErrorType,4
org/assertj/core/error/ShouldHaveBinaryContent,4
org/assertj/core/error/ShouldBeAfterYear,3
org/assertj/core/error/ShouldNotHaveDuplicates,3
org/assertj/core/api/JUnitBDDSoftAssertions,3
org/assertj/core/error/ShouldBeEqualIgnoringHours,2
org/assertj/core/api/PathAssert,1
org/assertj/core/api/LocalDateAssert,1
org/assertj/core/internal/ObjectArrays,62
org/assertj/core/data/TemporalUnitOffset,7
org/assertj/core/internal/Integers,13
org/assertj/core/error/uri/ShouldHavePath,8
org/assertj/core/error/ConditionAndGroupGenericParameterTypeShouldBeTheSame,2
org/assertj/core/error/ShouldHaveFields,4
org/assertj/core/error/ShouldEndWith,3
org/assertj/core/api/filter/NotInFilter,4
org/assertj/core/error/ShouldBeEqualIgnoringNanos,6
org/assertj/core/api/ErrorCollector,15
org/assertj/core/error/ShouldBeAbsolutePath,4
org/assertj/core/api/AssertionsForClassTypes,104
org/assertj/core/internal/Shorts,13
org/assertj/core/api/SoftAssertionMapAssert,1
org/assertj/core/error/ShouldBeInSameHour,2
org/assertj/core/api/AbstractDateAssert$1,3
org/assertj/core/presentation/StandardRepresentation,131
org/assertj/core/internal/Arrays,190
org/assertj/core/error/ShouldBeInTheFuture,3
org/assertj/core/util/introspection/MemberUtils,13
org/assertj/core/error/ShouldBeCloseTo,4
org/assertj/core/util/Strings,17
org/assertj/core/api/DoublePredicateAssert,7
org/assertj/core/util/xml/XmlStringPrettyFormatter,7
org/assertj/core/api/AbstractUrlAssert,19
org/assertj/core/internal/ExtendedByTypesComparator$1,4
org/assertj/core/internal/OnFieldsComparator,11
org/assertj/core/error/OptionalShouldBeEmpty,5
org/assertj/core/error/ShouldBeSubstring,2
org/assertj/core/api/filter/FilterOperator,3
org/assertj/core/error/ShouldBeAtIndex,2
org/assertj/core/internal/Dates,112
org/assertj/core/error/ShouldBeSymbolicLink,2
org/assertj/core/api/BigDecimalAssert,1
org/assertj/core/api/filter/InFilter,3
org/assertj/core/api/OptionalDoubleAssert,1
org/assertj/core/api/iterable/Extractor,1
org/assertj/core/api/AbstractOptionalIntAssert,10
org/assertj/core/api/AbstractBigDecimalAssert,36
org/assertj/core/internal/Files,44
org/assertj/core/api/AbstractShortAssert,43
org/assertj/core/api/ShortArrayAssert,1
org/assertj/core/api/AbstractShortArrayAssert,31
org/assertj/core/internal/Floats,12
org/assertj/core/error/ShouldHaveSuppressedException,2
org/assertj/core/util/DoubleComparator,22
org/assertj/core/util/diff/DiffUtils,50
org/assertj/core/util/diff/Delta,23
org/assertj/core/api/ComparatorFactory,4
org/assertj/core/api/SoftAssertions,4
org/assertj/core/error/ShouldBeBeforeOrEqualsTo,3
org/assertj/core/api/IterableSizeAssert,2
org/assertj/core/api/AssertionInfo,3
org/assertj/core/api/ExtensionPoints,4
org/assertj/core/api/LongPredicateAssert,7
org/assertj/core/error/BasicErrorMessageFactory,12
org/assertj/core/internal/IgnoringFieldsComparator,6
org/assertj/core/api/AbstractComparableAssert,25
org/assertj/core/util/diff/myers/MyersDiff$1,2
org/assertj/core/error/ShouldBeAfterOrEqualsTo,3
org/assertj/core/internal/ByteArrays,42
org/assertj/core/error/ShouldBe,2
org/assertj/core/error/AbstractShouldHaveTextContent,4
org/assertj/core/api/AbstractIntArrayAssert,31
org/assertj/core/api/AbstractUriAssert,19
org/assertj/core/error/ShouldContainOnlyNulls$ErrorType,4
org/assertj/core/error/ShouldBeEqualWithinOffset,2
org/assertj/core/error/ShouldHaveExtension,4
org/assertj/core/api/Java6JUnitBDDSoftAssertions$1,2
org/assertj/core/util/introspection/FieldUtils,18
org/assertj/core/util/diff/myers/PathNode,11
org/assertj/core/api/Descriptable,4
org/assertj/core/api/IndexedObjectEnumerableAssert,2
org/assertj/core/error/ShouldBeEqualIgnoringWhitespace,2
org/assertj/core/error/ShouldBeInSameDay,2
org/assertj/core/api/DoubleArrayAssert,1
org/assertj/core/internal/ErrorMessages,32
org/assertj/core/api/SoftAssertionListAssert,2
org/assertj/core/internal/Failures,21
org/assertj/core/error/ShouldHavePropertyOrFieldWithValue,2
org/assertj/core/error/future/ShouldBeCompleted,2
org/assertj/core/error/ShouldContainExactlyInAnyOrder,6
org/assertj/core/configuration/ConfigurationProvider,3
org/assertj/core/error/AssertionErrorFactory,1
org/assertj/core/error/ShouldBeSubsetOf,3
org/assertj/core/api/AbstractObjectArrayAssert,171
org/assertj/core/util/introspection/Introspection,12
org/assertj/core/api/AssertionsForInterfaceTypes,22
org/assertj/core/internal/BinaryDiffResult,6
org/assertj/core/error/ElementsShouldBeAtMost,2
org/assertj/core/api/AbstractThrowableAssert,20
org/assertj/core/error/ShouldBeAnArray,2
org/assertj/core/error/uri/ShouldHaveFragment,4
org/assertj/core/error/ShouldAccept,2
org/assertj/core/util/diff/DeltaComparator,6
org/assertj/core/api/ProxifyExtractingResult,8
org/assertj/core/error/ShouldMatchPattern,2
org/assertj/core/error/ShouldHaveSameTime,2
org/assertj/core/util/Strings$StringsToJoin,9
org/assertj/core/error/ShouldBeNullOrEmpty,2
org/assertj/core/error/ShouldNotBeIn,3
org/assertj/core/api/AbstractIterableAssert,250
org/assertj/core/error/future/ShouldNotBeDone,2
org/assertj/core/error/ShouldBeToday,5
org/assertj/core/api/Java6JUnitBDDSoftAssertions,3
org/assertj/core/util/diff/Delta$TYPE,4
org/assertj/core/condition/AllOf,8
org/assertj/core/util/diff/InsertDelta,6
org/assertj/core/util/diff/ChangeDelta,7
org/assertj/core/error/ShouldHaveNoParent,4
org/assertj/core/internal/LongArrays,28
org/assertj/core/data/TemporalUnitLessThanOffset,4
org/assertj/core/api/AbstractLocalDateTimeAssert,56
org/assertj/core/api/AbstractListAssert,81
org/assertj/core/api/AssertFactory,1
org/assertj/core/error/ShouldNotBeNull,3
org/assertj/core/error/uri/ShouldHaveQuery,8
org/assertj/core/error/ShouldNotStartWith,3
org/assertj/core/api/BDDSoftAssertions,3
org/assertj/core/util/Compatibility,1
org/assertj/core/api/AbstractFutureAssert,5
org/assertj/core/error/ShouldHaveNoCause,2
org/assertj/core/error/ShouldContainAtIndex,3
org/assertj/core/util/diff/myers/MyersDiff,35
org/assertj/core/error/ShouldHaveSize,2
org/assertj/core/util/introspection/PropertySupport,27
org/assertj/core/error/ShouldBeInSameYear,2
org/assertj/core/api/AbstractOffsetTimeAssert,57
org/assertj/core/presentation/Representation,2
org/assertj/core/error/ShouldNotContainSubsequence,3
org/assertj/core/presentation/BinaryRepresentation,25
org/assertj/core/util/BigIntegerComparator,3
org/assertj/core/error/uri/ShouldHaveAnchor,4
org/assertj/core/api/ArraySortedAssert,2
org/assertj/core/util/introspection/ClassUtils,10
org/assertj/core/error/ShouldBeAnnotation,4
org/assertj/core/api/Assert,30
org/assertj/core/api/AbstractDoubleAssert,61
org/assertj/core/api/AbstractArrayAssert,1
org/assertj/core/error/ElementsShouldBeAtLeast,2
org/assertj/core/api/AutoCloseableBDDSoftAssertions,2
org/assertj/core/internal/Booleans,8
org/assertj/core/api/ShortAssert,1
org/assertj/core/api/AbstractInputStreamAssert,3
org/assertj/core/error/ShouldNotContain,3
org/assertj/core/error/ShouldNotContainSequence,3
org/assertj/core/api/AbstractOffsetDateTimeAssert,64
org/assertj/core/api/CompletableFutureAssert,1
org/assertj/core/error/ShouldBeInSameSecond,2
org/assertj/core/api/SoftAssertionIterableAssert,3
org/assertj/core/internal/AbstractComparisonStrategy,18
org/assertj/core/error/ShouldNotEndWith,3
org/assertj/core/api/AtomicLongAssert,20
org/assertj/core/util/diff/myers/DiffNode,3
org/assertj/core/error/ShouldBeEqualWithTimePrecision,7
org/assertj/core/error/ShouldHaveAnnotations,2
org/assertj/core/error/ShouldContainOnlyDigits,4
org/assertj/core/error/ShouldContainOnlyNulls,8
org/assertj/core/internal/CommonValidations,37
org/assertj/core/api/ZonedDateTimeAssert,1
org/assertj/core/internal/RecursiveFieldByFieldComparator,14
org/assertj/core/util/AbstractComparableNumberComparator,4
org/assertj/core/api/AbstractLongArrayAssert,31
org/assertj/core/internal/Diff,12
org/assertj/core/api/FloatArrayAssert,1
org/assertj/core/extractor/ToStringExtractor,3
org/assertj/core/util/diff/Chunk,19
org/assertj/core/error/ShouldNotBeEqual,3
org/assertj/core/api/ListAssert,78
org/assertj/core/api/AbstractCompletableFutureAssert,33
org/assertj/core/error/ShouldBeDirectory,4
org/assertj/core/error/ConstructorInvoker$SetAccessibleValueAction,4
org/assertj/core/error/ShouldBeSame,2
org/assertj/core/api/ErrorCollector$LastResult,14
org/assertj/core/api/AutoCloseableSoftAssertions,2
org/assertj/core/error/ShouldNotHave,2
org/assertj/core/api/AbstractBigIntegerAssert,36
org/assertj/core/api/IntArrayAssert,2
org/assertj/core/matcher/AssertionMatcher,6
org/assertj/core/error/MessageFormatter,8
org/assertj/core/api/ObjectEnumerableAssert,51
org/assertj/core/description/EmptyTextDescription,3
org/assertj/core/internal/TypeComparators,15
org/assertj/core/error/ShouldBeInThePast,3
org/assertj/core/api/DoubleAssert,2
org/assertj/core/api/AtomicIntegerArrayAssert,31
org/assertj/core/error/future/ShouldHaveFailed,2
org/assertj/core/error/ShouldOnlyHaveFields$ErrorType,4
org/assertj/core/error/OptionalShouldBePresent,2
org/assertj/core/api/FactoryBasedNavigableListAssert,2
org/assertj/core/api/MapSizeAssert,2
org/assertj/core/error/ShouldContain,3
org/assertj/core/error/ShouldBeEqual,31
org/assertj/core/error/ShouldBeEqualIgnoringNewLineDifferences,2
org/assertj/core/error/BasicErrorMessageFactory$UnquotedString,15
org/assertj/core/util/FailureMessages,3
org/assertj/core/error/ShouldBeBeforeYear,3
org/assertj/core/internal/InputStreamsException,2
org/assertj/core/api/AbstractFileAssert,22
org/assertj/core/internal/Paths,68
org/assertj/core/error/ShouldHaveCauseExactlyInstance,4
org/assertj/core/error/OptionalDoubleShouldHaveValueCloseTo,4
org/assertj/core/api/ThrowableTypeAssert,10
org/assertj/core/util/introspection/PropertyOrFieldSupport,20
org/assertj/core/util/Maps,4
org/assertj/core/error/ShouldHaveMessageMatchingRegex,2
org/assertj/core/api/ByteArrayAssert,1
org/assertj/core/error/ShouldNotMatchPattern,2
org/assertj/core/description/Description,9
org/assertj/core/error/ShouldBeGreater,3
org/assertj/core/data/Index,10
org/assertj/core/internal/Strings$Whitespace,4
org/assertj/core/api/FileAssert,1
org/assertj/core/util/Strings$StringToAppend,3
org/assertj/core/error/ShouldBeInSameMinute,2
org/assertj/core/internal/Futures,12
org/assertj/core/api/LocalTimeAssert,1
org/assertj/core/api/ThrowableAssertAlternative,18
org/assertj/core/internal/Longs,13
org/assertj/core/error/ShouldHaveLineCount,2
org/assertj/core/error/future/ShouldNotBeCompletedExceptionally,2
org/assertj/core/error/ElementsShouldNotHave,2
org/assertj/core/internal/FloatArrays,28
org/assertj/core/error/ShouldNotContainKey,2
org/assertj/core/error/ShouldBeLessOrEqual,3
org/assertj/core/extractor/Extractors,7
org/assertj/core/error/ShouldOnlyHaveFields,10
org/assertj/core/error/ElementsShouldHaveExactly,2
org/assertj/core/internal/ComparatorBasedComparisonStrategy,39
org/assertj/core/internal/FieldByFieldComparator,11
org/assertj/core/api/AbstractBooleanArrayAssert,31
org/assertj/core/api/AtomicIntegerAssert,20
org/assertj/core/error/ShouldBeEqualByComparingOnlyGivenFields,4
org/assertj/core/condition/Negative,3
org/assertj/core/error/ShouldHaveSameHashCode,2
org/assertj/core/api/AtomicBooleanAssert,7
org/assertj/core/error/ShouldHaveDateField,2
org/assertj/core/error/ShouldContainSubsequence,3
org/assertj/core/error/ShouldHaveToString,2
org/assertj/core/error/ShouldNotBeSame,2
org/assertj/core/api/AbstractMapAssert,106
org/assertj/core/error/ShouldHaveValue,4
org/assertj/core/error/ShouldContainCharSequenceSequence,3
org/assertj/core/util/diff/DeleteDelta,5
org/assertj/core/internal/Iterables,179
org/assertj/core/error/ShouldBeInSameMinuteWindow,2
org/assertj/core/error/ShouldBeInstance,6
org/assertj/core/error/ShouldContainExactly,14
org/assertj/core/api/Condition,16
org/assertj/core/error/ShouldNotBeInstance,4
org/assertj/core/api/AbstractAtomicFieldUpdaterAssert,8
org/assertj/core/api/AbstractInstantAssert,32
org/assertj/core/internal/Characters,8
org/assertj/core/internal/Predicates,4
org/assertj/core/error/ShouldHaveSameSizeAs,2
org/assertj/core/error/ShouldHaveNoSuppressedExceptions,2
org/assertj/core/api/exception/PathsException,1
org/assertj/core/error/ElementsShouldNotBe,2
org/assertj/core/error/ShouldBeMarked,4
org/assertj/core/internal/IntArrays,28
org/assertj/core/error/ShouldContainNull,2
org/assertj/core/api/AbstractIntegerAssert,43
org/assertj/core/api/JUnitSoftAssertions$1,2
org/assertj/core/error/ShouldHaveCause,9
org/assertj/core/util/NullSafeComparator,6
org/assertj/core/error/ShouldNotHaveSameClass,2
org/assertj/core/internal/Doubles,12
org/assertj/core/util/Objects,22
org/assertj/core/error/ShouldContainValues,3
org/assertj/core/error/ShouldBeBlank,2
org/assertj/core/internal/Uris,40
org/assertj/core/error/ShouldHaveName,4
org/assertj/core/error/ShouldContainsOnlyOnce,8
org/assertj/core/error/ShouldContainKeys,4
org/assertj/core/error/ShouldNotContainPattern,2
org/assertj/core/api/HamcrestCondition,3
org/assertj/core/api/AbstractStandardSoftAssertions,22
org/assertj/core/presentation/PredicateDescription,8
org/assertj/core/internal/BigIntegers,13
org/assertj/core/util/diff/myers/Snake,2
org/assertj/core/api/AbstractIterableSizeAssert,2
org/assertj/core/api/StringAssert,1
org/assertj/core/error/ShouldContainOnlyKeys,5
org/assertj/core/groups/Properties,8
org/assertj/core/error/ErrorMessageFactory,3
org/assertj/core/util/Compatibility$System,3
org/assertj/core/error/ShouldHaveReference,2
org/assertj/core/api/MapAssert,19
org/assertj/core/error/future/ShouldNotBeCompleted,2
org/assertj/core/error/ShouldBeUpperCase,2
org/assertj/core/error/ShouldBeReadable,4
org/assertj/core/error/ShouldBeEqualIgnoringTimezone,3
org/assertj/core/api/BigIntegerAssert,1
org/assertj/core/internal/DualKey,11
org/assertj/core/error/ShouldNotContainCharSequence,3
org/assertj/core/error/ShouldBeInSameMonth,2
org/assertj/core/error/ShouldHaveTime,2
org/assertj/core/presentation/HexadecimalRepresentation,24
org/assertj/core/util/Lists,11
org/assertj/core/error/ShouldHaveParent,9
org/assertj/core/error/ShouldNotBeBetween,5
org/assertj/core/condition/Join,9
org/assertj/core/internal/StandardComparisonStrategy$1,4
org/assertj/core/util/Closeables,7
org/assertj/core/error/OptionalShouldContainInstanceOf,3
org/assertj/core/api/GenericComparableAssert,1
org/assertj/core/internal/CommonErrors,7
org/assertj/core/api/AbstractPredicateAssert,9
org/assertj/core/internal/Objects$ByFieldsComparison,8
org/assertj/core/error/ShouldNotContainAtIndex,3
org/assertj/core/api/AbstractClassAssert,20
org/assertj/core/error/ShouldContainAnyOf,3
org/assertj/core/api/ClassBasedNavigableIterableAssert,7
org/assertj/core/api/filter/NotFilter,5
org/assertj/core/api/SoftProxies$CollectErrorsOrCreateExtractedProxy,19
org/assertj/core/internal/DeepDifference,116
org/assertj/core/api/IntPredicateAssert,7
org/assertj/core/api/Fail,7
org/assertj/core/api/Assumptions$AssumptiomMethodInterceptor,6
org/assertj/core/condition/Not,3
org/assertj/core/error/ShouldNotBeEqualWithinPercentage,2
org/assertj/core/api/ByteAssert,1
org/assertj/core/error/ShouldMatch,4
org/assertj/core/error/ShouldBeExecutable,4
org/assertj/core/error/ShouldContainSequence,3
org/assertj/core/api/BooleanAssert,3
org/assertj/core/api/AbstractBDDSoftAssertions,22
org/assertj/core/data/TemporalUnitWithinOffset,4
org/assertj/core/error/ShouldHavePropertyOrField,2
org/assertj/core/internal/CharArrays,28
org/assertj/core/error/ShouldBeInSameHourWindow,2
org/assertj/core/internal/BigDecimals,13
org/assertj/core/util/DateUtil,64
org/assertj/core/api/AbstractOptionalLongAssert,10
org/assertj/core/api/OptionalLongAssert,1
org/assertj/core/api/AbstractMapSizeAssert,2
org/assertj/core/internal/NioFilesWrapper,11
org/assertj/core/api/DateAssert,1
org/assertj/core/internal/IterableDiff,12
org/assertj/core/api/PredicateAssert,5
org/assertj/core/condition/AnyOf,8
org/assertj/core/api/AbstractFloatArrayAssert,44
org/assertj/core/description/TextDescription,11
org/assertj/core/error/ShouldEndWithPath,2
org/assertj/core/error/ShouldBeSorted,8
org/assertj/core/internal/InputStreams,7
org/assertj/core/api/EnumerableAssert,8
org/assertj/core/error/ShouldHaveCauseInstance,4
org/assertj/core/error/ShouldNotMatch,4
org/assertj/core/api/FloatingPointNumberAssert,7
org/assertj/core/api/OffsetTimeAssert,1
org/assertj/core/internal/Objects,119
org/assertj/core/api/AtomicReferenceAssert,5
org/assertj/core/error/ShouldBeEqualByComparingFieldByFieldRecursively,6
org/assertj/core/error/ShouldHaveOnlyElementsOfType,2
