Class Name,Lines Of Code
./condition/AnyOf.java,31
./condition/DoesNotHave.java,17
./condition/Not.java,17
./condition/Join.java,38
./condition/AllOf.java,31
./condition/Negative.java,18
./internal/AbstractComparisonStrategy.java,69
./internal/RealNumbers.java,29
./internal/IterableDiff.java,51
./internal/BinaryDiff.java,50
./internal/IntArrays.java,108
./internal/OnFieldsComparator.java,60
./internal/IterableElementComparisonStrategy.java,52
./internal/Dates.java,349
./internal/FloatArrays.java,108
./internal/Characters.java,34
./internal/InputStreamsException.java,9
./internal/Throwables.java,139
./internal/Uris.java,170
./internal/Lists.java,155
./internal/BigDecimals.java,44
./internal/Failures.java,113
./internal/ErrorMessages.java,128
./internal/Maps.java,373
./internal/Strings.java,484
./internal/TypeComparators.java,57
./internal/IgnoringFieldsComparator.java,45
./internal/ExtendedByTypesComparator.java,56
./internal/Bytes.java,39
./internal/ObjectArrayElementComparisonStrategy.java,48
./internal/DeepDifference.java,474
./internal/Conditions.java,50
./internal/ObjectArrays.java,230
./internal/BigIntegers.java,43
./internal/CharArrays.java,108
./internal/DualKey.java,49
./internal/CommonErrors.java,31
./internal/NioFilesWrapper.java,51
./internal/Floats.java,40
./internal/Futures.java,44
./internal/Files.java,187
./internal/StandardComparisonStrategy.java,121
./internal/FieldByFieldComparator.java,48
./internal/BooleanArrays.java,99
./internal/Urls.java,128
./internal/RecursiveFieldByFieldComparator.java,45
./internal/Doubles.java,41
./internal/ComparisonStrategy.java,17
./internal/Longs.java,39
./internal/Objects.java,491
./internal/Difference.java,34
./internal/ShortArrays.java,108
./internal/Paths.java,295
./internal/Shorts.java,41
./internal/CommonValidations.java,129
./internal/DoubleArrays.java,108
./internal/Predicates.java,23
./internal/Diff.java,78
./internal/ByteArrays.java,154
./internal/BinaryDiffResult.java,24
./internal/Numbers.java,102
./internal/ComparatorBasedComparisonStrategy.java,129
./internal/InputStreams.java,44
./internal/Booleans.java,34
./internal/Comparables.java,135
./internal/AtomicReferenceArrayElementComparisonStrategy.java,50
./internal/Classes.java,312
./internal/Integers.java,39
./internal/Iterables.java,657
./internal/Arrays.java,698
./internal/LongArrays.java,108
./description/Description.java,19
./description/EmptyTextDescription.java,11
./description/TextDescription.java,38
./presentation/NumberGrouping.java,39
./presentation/HexadecimalRepresentation.java,67
./presentation/StandardRepresentation.java,441
./presentation/Representation.java,7
./presentation/UnicodeRepresentation.java,36
./presentation/BinaryRepresentation.java,66
