Method,Nodes,Cyclomatic Complexity
org/assertj/core/groups/FieldsOrPropertiesExtractor.<init>,7,1
org/assertj/core/groups/FieldsOrPropertiesExtractor.extract,18,1
org/assertj/core/groups/FieldsOrPropertiesExtractor.extract,44,2
org/assertj/core/groups/FieldsOrPropertiesExtractor.checkObjectToExtractFromIsNotNull,15,2
org/assertj/core/groups/Tuple.<init>,21,1
org/assertj/core/groups/Tuple.toArray,8,1
org/assertj/core/groups/Tuple.toList,7,1
org/assertj/core/groups/Tuple.hashCode,24,1
org/assertj/core/groups/Tuple.equals,40,4
org/assertj/core/groups/Tuple.toString,9,1
org/assertj/core/groups/Tuple.tuple,9,1
org/assertj/core/groups/Properties.extractProperty,14,1
org/assertj/core/groups/Properties.extractProperty,8,1
org/assertj/core/groups/Properties.checkIsNotNullOrEmpty,27,2
org/assertj/core/groups/Properties.<init>,24,1
org/assertj/core/groups/Properties.ofType,9,1
org/assertj/core/groups/Properties.from,13,1
org/assertj/core/groups/Properties.from,14,1
org/assertj/core/presentation/UnicodeRepresentation.<clinit>,9,1
org/assertj/core/presentation/UnicodeRepresentation.<init>,7,1
org/assertj/core/presentation/UnicodeRepresentation.toStringOf,41,4
org/assertj/core/presentation/UnicodeRepresentation.toStringOf,8,1
org/assertj/core/presentation/UnicodeRepresentation.toStringOf,7,1
org/assertj/core/presentation/UnicodeRepresentation.escapeUnicode,80,3
org/assertj/core/presentation/Representation.toStringOf,2,1
org/assertj/core/presentation/Representation.unambiguousToStringOf,2,1
org/assertj/core/presentation/BinaryRepresentation.<clinit>,11,1
org/assertj/core/presentation/BinaryRepresentation.<init>,7,1
org/assertj/core/presentation/BinaryRepresentation.toStringOf,53,5
org/assertj/core/presentation/BinaryRepresentation.toStringOf,23,1
org/assertj/core/presentation/BinaryRepresentation.toStringOf,81,8
org/assertj/core/presentation/BinaryRepresentation.toStringOf,12,1
org/assertj/core/presentation/BinaryRepresentation.toStringOf,12,1
org/assertj/core/presentation/BinaryRepresentation.toStringOf,10,1
org/assertj/core/presentation/BinaryRepresentation.toStringOf,10,1
org/assertj/core/presentation/BinaryRepresentation.toStringOf,11,1
org/assertj/core/presentation/BinaryRepresentation.toStringOf,11,1
org/assertj/core/presentation/BinaryRepresentation.toStringOf,25,1
org/assertj/core/presentation/BinaryRepresentation.toGroupedBinary,15,1
org/assertj/core/presentation/BinaryRepresentation.toBinary,24,1
org/assertj/core/presentation/PredicateDescription.<clinit>,10,1
org/assertj/core/presentation/PredicateDescription.<init>,20,1
org/assertj/core/presentation/PredicateDescription.isDefault,9,1
org/assertj/core/presentation/PredicateDescription.equals,40,4
org/assertj/core/presentation/PredicateDescription.hashCode,10,1
org/assertj/core/presentation/StandardRepresentation.<clinit>,33,1
org/assertj/core/presentation/StandardRepresentation.<init>,7,1
org/assertj/core/presentation/StandardRepresentation.resetDefaults,13,1
org/assertj/core/presentation/StandardRepresentation.setMaxLengthForSingleLineDescription,29,2
org/assertj/core/presentation/StandardRepresentation.getMaxLengthForSingleLineDescription,6,1
org/assertj/core/presentation/StandardRepresentation.setMaxElementsForPrinting,30,2
org/assertj/core/presentation/StandardRepresentation.registerFormatterForType,12,1
org/assertj/core/presentation/StandardRepresentation.removeAllRegisteredFormatters,9,1
org/assertj/core/presentation/StandardRepresentation.toStringOf,345,33
org/assertj/core/presentation/StandardRepresentation.customFormat,20,2
org/assertj/core/presentation/StandardRepresentation.hasCustomFormatterFor,16,2
org/assertj/core/presentation/StandardRepresentation.unambiguousToStringOf,37,2
