Class Name, Total Occurrences, Always Used
org.assertj.core.util.Objects, 4968, false
org.assertj.core.util.OtherStringTestComparatorWithAt, 3, false
org.assertj.core.internal.Bytes, 4, false
org.assertj.core.api.AbstractZonedDateTimeAssert, 6, false
org.assertj.core.api.WithAssertions, 114, false
org.assertj.core.internal.RealNumbers, 4, false
org.assertj.core.api.ClassBasedNavigableListAssert, 4, false
org.assertj.core.internal.Dates, 6, false
org.assertj.core.api.objectarray.ObjectArrayAssert_extracting_Test.DefaultName, 2, false
org.assertj.core.api.AbstractOptionalIntAssert, 1, false
org.assertj.core.internal.InputStreams, 1, false
org.assertj.core.util.introspection.Introspection, 538, false
org.assertj.core.api.AbstractShortAssert, 3, false
org.assertj.core.groups.Properties, 7, false
org.assertj.core.description.TextDescription, 24, false
org.assertj.core.api.ThrowableAssert, 4, false
org.assertj.core.error.BasicErrorMessageFactory, 12, false
org.assertj.core.api.AbstractOptionalDoubleAssert, 1, false
org.hamcrest.core.SubstringMatcher, 12, false
org.assertj.core.api.AbstractThrowableAssert, 7, false
org.assertj.core.internal.Floats, 6, false
org.assertj.core.internal.Files, 1, false
org.assertj.core.extractor.ByNameSingleExtractor, 89, false
org.assertj.core.api.objectarray.ObjectArrayAssert_extracting_Test, 104, false
org.assertj.core.internal.Objects, 744, false
org.assertj.core.api.BDDAssertions_then_Test, 39, false
org.assertj.core.util.Preconditions, 2003, false
org.assertj.core.groups.FieldsOrPropertiesExtractor, 158, false
org.assertj.core.test.ExpectedException, 178, false
org.assertj.core.util.IterableUtil, 44, false
org.assertj.core.test.Employee, 391, false
org.assertj.core.util.Lists, 489, false
org.assertj.core.internal.FloatArrays, 6, false
org.assertj.core.api.AbstractByteAssert, 3, false
org.assertj.core.api.ListAssert, 28, false
org.assertj.core.internal.Classes, 4, false
org.assertj.core.util.introspection.PropertyOrFieldSupport, 604, false
org.hamcrest.DiagnosingMatcher, 50, false
org.assertj.core.presentation.AbstractBaseRepresentationTest, 72, false
org.assertj.core.internal.ByteArrays, 6, false
org.assertj.core.internal.IntArrays, 5, false
org.assertj.core.api.AbstractCharSequenceAssert, 5, false
org.assertj.core.internal.TypeComparators, 124, false
org.assertj.core.internal.Shorts, 4, false
org.assertj.core.util.introspection.PropertySupport, 438, false
org.assertj.core.internal.NioFilesWrapper, 1, false
org.assertj.core.internal.Failures, 154, false
org.assertj.core.internal.CommonValidations, 80, false
