From,To,Overlap
AbstractBDDSoftAssertions.class,AbstractStandardSoftAssertions.class,0.480519480519481
Java6AbstractBDDSoftAssertions.class,Java6AbstractStandardSoftAssertions.class,0.442105263157895
AbstractLongArrayAssert.class,AbstractShortArrayAssert.class,0.397959183673469
ShouldBeInSameHourWindow.class,ShouldBeInSameMinuteWindow.class,0.388888888888889
AbstractByteAssert.class,AbstractIntegerAssert.class,0.380090497737556
AbstractShortAssert.class,AbstractIntegerAssert.class,0.377272727272727
ShouldBeBeforeYear.class,ShouldBeAfterYear.class,0.375
ShouldBeAnnotation.class,ShouldBeInterface.class,0.375
TemporalUnitLessThanOffset.class,TemporalUnitWithinOffset.class,0.371428571428571
AtomicIntegerFieldUpdaterAssert.class,AtomicLongFieldUpdaterAssert.class,0.369565217391304
ShouldNotEndWith.class,ShouldNotStartWith.class,0.366666666666667
ShouldBeWritable.class,ShouldBeExecutable.class,0.366666666666667
ShouldBeWritable.class,ShouldBeReadable.class,0.366666666666667
ShouldBeInTheFuture.class,ShouldBeInThePast.class,0.366666666666667
ShouldBeExecutable.class,ShouldBeReadable.class,0.366666666666667
AbstractLongAssert.class,AbstractIntegerAssert.class,0.366515837104072
AbstractByteAssert.class,AbstractShortAssert.class,0.366515837104072
AbstractShortArrayAssert.class,AbstractIntArrayAssert.class,0.362244897959184
AbstractLongArrayAssert.class,AbstractIntArrayAssert.class,0.357142857142857
ShouldNotHaveSameClass.class,ShouldNotBeOfClassIn.class,0.357142857142857
ShouldNotHaveSameClass.class,ShouldBeOfClassIn.class,0.357142857142857
ShouldNotBeOfClassIn.class,ShouldBeOfClassIn.class,0.357142857142857
ShouldEndWith.class,ShouldStartWith.class,0.354838709677419
WithAssumptions.class,Compatibility$System.class,0.346846846846847
ShouldNotBeEqualWithinPercentage.class,ShouldBeEqualWithinPercentage.class,0.346153846153846
ShouldBeLessOrEqual.class,ShouldBeLess.class,0.346153846153846
ShouldNotBeEqualIgnoringCase.class,ShouldBeInSameDay.class,0.346153846153846
ShouldNotBeEqualIgnoringCase.class,ShouldBeInSameMinute.class,0.346153846153846
ShouldNotBeEqualIgnoringCase.class,ShouldBeInSameHour.class,0.346153846153846
ShouldNotBeEqualIgnoringCase.class,ShouldBeInSameMonth.class,0.346153846153846
ShouldBeInSameDay.class,ShouldBeInSameMinute.class,0.346153846153846
ShouldBeInSameDay.class,ShouldBeInSameHour.class,0.346153846153846
ShouldBeInSameDay.class,ShouldBeInSameMonth.class,0.346153846153846
ShouldMatchPattern.class,ShouldBeEqualIgnoringWhitespace.class,0.346153846153846
ShouldMatchPattern.class,ShouldNotBeEqualIgnoringWhitespace.class,0.346153846153846
ShouldMatchPattern.class,ShouldBeEqualNormalizingWhitespace.class,0.346153846153846
ShouldMatchPattern.class,ShouldNotMatchPattern.class,0.346153846153846
ShouldMatchPattern.class,ShouldNotBeEqualNormalizingWhitespace.class,0.346153846153846
ShouldBeInSameMinute.class,ShouldBeInSameHour.class,0.346153846153846
ShouldBeInSameMinute.class,ShouldBeInSameMonth.class,0.346153846153846
ShouldBeEqualIgnoringWhitespace.class,ShouldNotBeEqualIgnoringWhitespace.class,0.346153846153846
ShouldBeEqualIgnoringWhitespace.class,ShouldBeEqualNormalizingWhitespace.class,0.346153846153846
ShouldBeEqualIgnoringWhitespace.class,ShouldNotMatchPattern.class,0.346153846153846
ShouldBeEqualIgnoringWhitespace.class,ShouldNotBeEqualNormalizingWhitespace.class,0.346153846153846
ShouldNotBeEqualIgnoringWhitespace.class,ShouldBeEqualNormalizingWhitespace.class,0.346153846153846
ShouldNotBeEqualIgnoringWhitespace.class,ShouldNotMatchPattern.class,0.346153846153846
ShouldNotBeEqualIgnoringWhitespace.class,ShouldNotBeEqualNormalizingWhitespace.class,0.346153846153846
ShouldNotContainKey.class,ShouldContainPattern.class,0.346153846153846
ShouldNotContainKey.class,ShouldNotContainValue.class,0.346153846153846
ShouldBeEqualNormalizingWhitespace.class,ShouldNotMatchPattern.class,0.346153846153846
ShouldBeEqualNormalizingWhitespace.class,ShouldNotBeEqualNormalizingWhitespace.class,0.346153846153846
ShouldBeInSameHour.class,ShouldBeInSameMonth.class,0.346153846153846
ShouldContainPattern.class,ShouldNotContainValue.class,0.346153846153846
ShouldNotMatchPattern.class,ShouldNotBeEqualNormalizingWhitespace.class,0.346153846153846
WithAssumptions.class,ShouldNotAccept.class,0.345291479820628
WithAssumptions.class,ShouldAccept.class,0.345291479820628
ShouldNotBeIn.class,ShouldBeIn.class,0.34375
ShouldNotMatch.class,ShouldMatch.class,0.342857142857143
ShouldHaveAuthority.class,ShouldHaveHost.class,0.342105263157895
WithAssumptions.class,ShouldBeDirectory.class,0.34070796460177
WithAssumptions.class,Hexadecimals.class,0.34070796460177
WithAssumptions.class,OptionalShouldBePresent.class,0.33920704845815
WithAssumptions.class,ShouldHaveNoParent.class,0.337719298245614
WithAssumptions.class,ShouldNotExist.class,0.336244541484716
DoubleArrays.class,ShortArrays.class,0.335664335664336
ShouldNotEndWith.class,ShouldContainSubsequence.class,0.333333333333333
ShouldHave.class,ShouldNotBe.class,0.333333333333333
ShouldBe.class,ShouldNotBe.class,0.333333333333333
ShouldMatchPattern.class,ShouldBeEqualIgnoringCase.class,0.333333333333333
ShouldContainSequence.class,ShouldStartWith.class,0.333333333333333
ShouldContainSequence.class,ShouldBeBefore.class,0.333333333333333
ShouldBeEqualIgnoringWhitespace.class,ShouldBeEqualIgnoringCase.class,0.333333333333333
ShouldNotBeEqualIgnoringWhitespace.class,ShouldBeEqualIgnoringCase.class,0.333333333333333
ShouldNotStartWith.class,ShouldContainSubsequence.class,0.333333333333333
ShouldNotBe.class,ShouldNotHave.class,0.333333333333333
ShouldBeEqualNormalizingWhitespace.class,ShouldBeEqualIgnoringCase.class,0.333333333333333
ShouldNotMatchPattern.class,ShouldBeEqualIgnoringCase.class,0.333333333333333
ShouldNotBeEqualNormalizingWhitespace.class,ShouldBeEqualIgnoringCase.class,0.333333333333333
ShouldStartWith.class,ShouldBeBefore.class,0.333333333333333
WithAssumptions.class,ClassModifierShouldBe.class,0.330472103004292
WithAssumptions.class,ShouldHavePort.class,0.330472103004292
ShouldBeEqualIgnoringNanos.class,ShouldBeEqualIgnoringMinutes.class,0.327868852459016
WithAssumptions.class,LongPredicateAssert.class,0.327659574468085
WithAssumptions.class,DoublePredicateAssert.class,0.327659574468085
AbstractCharArrayAssert.class,AbstractShortArrayAssert.class,0.326633165829146
WithAssumptions.class,ShouldHaveParent.class,0.326271186440678
WithAssumptions.class,ShouldHaveCause.class,0.324894514767933
ShouldEndWith.class,ShouldContainSequence.class,0.32258064516129
